tweet_count;username;text;created_at;retweets;likes;sentiment
1;B;feds is posted everywhere on pwc parkway y’all be careful;2018-01-30;0;2;-0.1
2;Tania Oram;Ah, PwC and another of their dossiers...;2018-01-30;1;0;0
19;INROADS, Inc.;Thanks PWCs Tim Ryan for sharing your brave story on diversity and inclusion and how the CEO IN ACTION was born.  Thanks for sharing PWC commitment to action today at the Asian American Business Summit ,You set the standard for the new norm in leading from the top@INROADS@PWC;2018-01-30;0;3;0.17070707070707072
20;The 88BCAfrica Accelerator;The Collective is back at PwC later this week to dive even deeper into Finance Management. We value this collaboration with PwC as we assist our Women Entrepreneurs to get comfortable with their numbers. We believe this is vital to accelerating world-class African businesses.;2018-01-30;1;7;0.1
22;Ben Tomeo;"Oh look - BBC got a big accounting firm to clear the organisation of salary gender bias &amp; Fran Unsworth is the perfect person to explain why PwC is correct. ";2018-01-30;8;5;0.225
206;Pam Jackson;Always good to be in KSA newoffices growing team @PwC_Middle_East ;2018-01-24;9;21;0.7
23;Andy Woodfield (He/Him);Looking forward to my very first PwC session today., not entirely sure what to expect but it’s sure to stretch  my mind., it’s the next generation of experience centre to help us shape the future with our clients and our people, exciting stuff, I shall report back;2018-01-30;6;18;0.125
24;Phoebe Bagnall;En route to for PwC’s Sales and Marketing Away Day tomorrow - looking forward to a great day ;2018-01-30;2;12;0.8
25;Charlie Gates;Someone has put a load of coloured balls in the flooded remains of the former PwC building. ;2018-01-30;1;16;0
26;PwC_Luxembourg;The 1st 2018, shows increase confidence in! The positive environment remains high in the. See all the stats here;2018-01-30;4;4;0.19363636363636363
27;PwC Ghana;It's day 2 of Let's Talk Rubbish today's theme is reuse. Interesting fact: did you know that plastic can take up to 450 yrs to decompose? ;2018-01-30;6;3;0.5
28;GTP;Who said what at Davos 2018 … … PwC;2018-01-30;2;1;0
29;PwC Tanzania;The ever more disruptive impact of. How is it impacting CEO views on the future? Our takes a look: ;2018-01-30;6;7;0.25
30;$G;pwc let me down dis morning;2018-01-30;3;8;-0.15555555555555556
31;Graham Ruddick;The problem with PwC analysing BBC pay based on existing pay ranges also highlighted by this paragraph. Did it really need a City accountancy firm to identify that radio and TV presenters may be paid differently? ;2018-01-30;0;2;0
32;JV;Why is $GSW getting PWC to help them write announcements? Just stop putting out bullshit announcements with no substance and you’ll be fine;2018-01-30;0;29;0.4166666666666667
33;Khaya Sithole;Wait. Hold on.Did PwC charge R200 million for a forensic report for Prasa?;2018-01-30;75;38;0
34;Claire Burhouse;The team are out and about over the next few weeks promoting our PwC opportunities! Please check out what’s on and come along to speak to the team and learn more about taking the opportunity of a lifetime PwC  ;2018-01-30;9;10;0.08333333333333333
35;Anita Singh;Me: let me just read this 43-page PwC report and write a detailed analysisAlso Me: WHAT IS THE DIFFERENCE BETWEEN MEDIAN AND MEAN;2018-01-30;1;13;0.04375000000000001
36;Scott Bryan;The BBC has published a report on pay, put together by PwC. The plan: substantial pay cuts for some men and increases for some male and female presenters  ;2018-01-30;3;2;0
37;Graham Ruddick;This paragraph on page 19 of PwC's report on BBC pay really makes you wonder if the whole exercise was pointless ;2018-01-30;0;1;0.05000000000000001
38;PwC Malaysia; will create new jobs too. Read how:  ;2018-01-30;2;5;0.13636363636363635
39;Zora Suleman;An audit carried out by PwC into the BBC's pay structure has found no evidence of gender bias in pay decision-making but has identified anomalies that need addressing in relation to pay ;2018-01-30;1;1;0
40;Kevin Ellis CBE;Enjoyable Town Hall session today with a couple of hundred @PwC_UK people in the room and over 1000 more watching online. Thanks to everyone involved and for all the great questions ;2018-01-29;11;64;0.5
41;Tim Ryan;With one of our teams! We talked Davos and my thoughts. They shared work they are doing to audit results, controls and disclosures on tax reform. We also talked digital fitness, be well/work well and about some football game this weekend! Great job! PwC;2018-01-29;9;37;0.16666666666666666
42;PWC;We hope to see you all tomorrow! ;2018-01-29;3;3;0
43;Infra Investor;2017 infra activity hit by policy uncertainty, PwC finds ;2018-01-29;0;2;0
44;Richard Sykes;Promoting @HandWHC and @PwC at the same time - alumni networks important in business as well as in hockey and sport in general ;2018-01-29;4;11;0.15000000000000002
45;Nicolas Bombourg;9 most relevant investments in. 1-(via PwC) ;2018-01-29;2;0;0.45
46;David Nelson;"Looking forward to seeing @robmccargow @kevburrowes &amp; @Mr_LeoJ talk on Wednesday, as well as hearing great examples of how the @PwC_UK &amp; team are helping to deliver exceptional client value!";2018-01-29;3;11;0.8166666666666667
47;Nilesh Solanki;"A very interesting &amp; relaxed Town Hall session with @PwC_UK Chairman &amp; Senior Partner @KevinJDEllis on Brexit, Davos, Crypto, PwC strategy, Diversity and much more.. ";2018-01-29;0;5;0.575
48;Sheree Ball;Volume, variety and velocity of data present big challenges. Enroll in PwC's Coursera course: Data-driven Decision Making ;2018-01-29;0;0;0
49;Inside Isenberg;Don't miss @PwC in the Isenberg Atrium tomorrow from 10am - 2pm! Come network! ;2018-01-29;1;4;0
50;suit fang chin;"Encouraging results of @PwC_Malaysia MYReaders program. Well done to our volunteers &amp; CR team See the progress of the students b4 &amp; after the program on our video PwCMYCR";2018-01-30;5;8;0
51;Prince William County Police Department;"Police seek identity of suspect involved in a shooting outside the Uptown Alley in Manassas on January 28; More info: ";2018-01-29;13;4;0.25
52;Jeff H;Very excited that @PwC will be working with @brianbehlendorf and the @Hyperledger community moving forward to progress open source standards!;2018-01-29;5;7;0.24375000000000002
53;Kawasaki USA;Paradise is where you dock it. Photo: Alex Darden PWC ;2018-01-29;9;53;0
54;Amol Rajan;MINI-SCOOP: As I said on BBCNewsTen, there’s a proposal on table to limit pay of full-time news presenters at BBC to £320,000. Not signed off. Could change. Won’t be specified in PWC report. Not clear if they can earn more from rest of BBC. But that’s current thinking at the top;2018-01-29;20;29;0.2375
55;JournalofAccountancy;Artificial intelligence is changing accounting and auditing jobs rather than replacing them, says @PwC_LLP assurance innovation leader Mike Baccala.;2018-01-29;28;33;-0.6
56;Kathy Klotz-Guest, 5/12 Mother's Day @roostertf;What CEOs say are hardest to recruit for. Data is via PWC report 'CEO survey' 2017.;2018-01-30;2;3;0
57;PwC UK Careers;Are you a school leaver or studying for a degree? We will be posting useful tips to make your employability skills shine through. You probably already  have more than you think. Check out our Employability page to find out what they are: PwCemployability;2018-01-29;16;9;0.4
58;Alex Reed;Great turn out at @PwC_UK Reading for the InsurTech evening with @BristolFintech Watch this space for the next Scale programme @RoseanneBlake;2018-01-29;1;3;0.4
59;jimandrus;Diversity and inclusion are core to our values, and an inclusive environment is key to seeing people’s potential and solving important problems. Thrilled to see @PwC_LLP recognized as a @Forbes 2018 Best Employer for Diversity;2018-01-29;2;3;0.4
60;Rod Adams;A chief concern among recent college graduates? Student debt. Watch for how PwC plans to help recent grads. ;2018-01-29;2;8;0
61;PwC Malta;"Asset &amp; wealth management revolution: are you embracing exponential change? Explore PwC’s new report: ";2018-01-29;0;0;0.13636363636363635
62;Sarah Ⓥ;"The speech which we preach, an oldie but a goodie:  Blockchain, the Trust Machine by @TheEconomist , published in 2015. 3 yrs later and we finally have PwC &amp; DNV GL on our side.";2018-01-29;11;46;0
63;PwC Private Company;Near record level optimism on the economy - why? via @PwCPrivateCo: ;2018-01-29;1;0;0.1
64;Accountancy Age; PwC to switch to 100% renewable energy by 2022;2018-01-29;6;5;0
65;Charlie Johnson-ferg;New episode of @PwC_UK ReimaginingCapitalProjects podcast series ‘Unlocking the potential of Blockchain’ out now;2018-01-29;3;2;0.06818181818181818
66;PwC Ghana;This week we are focussing on environmental stewardship. Today's theme for our Let's Talk Rubbish campaign is waste reduction reduce;2018-01-29;12;7;-0.2
67;Juniper Networks;New PwC research found that 100% of interviewed enterprises have embraced a multicloud strategy. What do they know that you don’t?;2018-01-29;7;3;0.13636363636363635
68;Philip Sime;Most firms see Brexit as the most serious threat to UK’s status as financial centre, according to the latest CBI/PwC survey.;2018-01-29;2;2;0.23333333333333334
69;PwC_Luxembourg;What GDPR means for ManagementCompanies and what are the main topics ManCos should be concerned about?@FredericVonner tells you in this video ampwcl;2018-01-29;1;2;0.16666666666666666
70;Sasha Saenko;Our CEOSurvey shows EmergingTech is high on the agenda for UK CEOs in 2018. See more here: intelligentdigital pwc @PwC_UK ceo business digital tech;2018-01-29;1;3;0.22
71;PwC US;Who will prevent the unexpected dangers that AI brings to innovative companies? In many firms, risk professionals are mission-critical. ;2018-01-29;20;30;0.3666666666666667
72;Simon Porter;PWC Report: 69% of UK CEOs believe emerging technology will Disrupt their Business over Next 5 Years (via Passle) ;2018-01-29;2;2;0
73;MCA;Judging by our great panel of experts for the 2018 MCAawards begins today with Change Management in the Public Sector projects Welcome @PwC_UK @ArupGroup @Carnall_Farrar Chaucer Consulting Inner Circle Consulting @PPLthinks @DeloitteUK;2018-01-29;2;4;0.4
74;PwC Yorkshire & NE;Would you like to be part of PwC’s NextGen Club? Sign up today!  PwCFamilyBiz ;2018-01-29;0;0;0
75;PwC_North;We get you want no-nonsense. Learn about the commercial and practical support @emmas_pwc provides leading NW brewery @JWLeesBrewery via: ;2018-01-29;3;3;0
