tweet_count;username;text;created_at;retweets;likes;sentiment
116;Mark Toro;Excerpt from this @PwC Emerging Trends in Real Estate 2019;2018-11-27;0;5;0.2
1;PwC New Zealand;75% of family business respondents say having a clear set of values creates a competitive advantage. But are they really making the most of it? Find out more in PwC's 9th Global Family Business Survey:  PwCFamBizSurvey;2018-11-29;1;2;0.26
190;Bonnie;.@tay_whitt working hard to get ready for  GreyCup2018 @PwC_Canada;2018-11-24;0;11;-0.04583333333333334
2;Agnès Hussherr;Conscience (be) vs competency (do). IA will do but will it be ? @bernardgainnier @PwC_France @Jd_Benassouli @SlushHQ;2018-11-29;2;7;0
3;sparkymark131;Social mobility initiative of the year award to @PwC_UK. Someone’s future should be determined by their talent and determination. Always! @GLEEPwCUK @GresswellLucy @bambridgehannah @davidradair @annehurst1 @pwcfoundationuk @HollieCrompton @sarahjchurchman;2018-11-29;6;15;0.016666666666666666
4;Maxime G;75% want human vs machine interactions to improve CX in the future fwork? PwC via MikeQuindazzi;2018-11-29;4;2;0
5;Snezhana Ilieva;Oliver Selfridge’s concept of “pandemonium architecture” of pattern recognition composed of  demons yelling at each other of which  the loudest demon is the one upon which decision is made on is so relevant today i.e. neural networks;2018-11-29;2;8;0.1375
6;Agnès Hussherr;So impressed by @JasmineAnteunis ! Not yet 30 and already so successful ! @bernardgainnier @Jd_Benassouli @PwC_France @RecastAI;2018-11-29;0;4;0.96875
7;Megan Martinsone;Watch live now: “Exploring the Future of Artificial Intelligence: views from history” from @Cambridge_Uni @PwC_UK;2018-11-29;4;7;-0.15454545454545454
8;Hannah Bambridge;Winners of the social mobility initiative of the year!;2018-11-29;3;15;0.041666666666666664
9;Jon Terry;The new @PwC_UK blog is now live.  Mete Feridun and Hortense Huez discuss the impact of the Bank of England's Brexit proposals on ICAAP and ILAAP requirements.  Read more here BeyondBrexit;2018-11-29;1;1;0.25757575757575757
10;David Cohen Boulakia;Thanks to Frederic @simottel for conducting @VillaniCedric’s interview. Government will help develop algorithmic classes starting at 7 years old  to continue building AI interest and competences in France. @SlushHQ @PwC_France;2018-11-29;3;5;0.10000000000000002
11;Jeffery McMillan;Stirring toast by our host Lasha of @PwC_Georgia to kick off our @PwCCEE MCBD Summit in Tbilisi. Why are the toasts so good in this part of the world? Long history of fine wine for practicing? So excellent to be here at last.;2018-11-29;2;4;0.4133333333333333
12;Nikos Loutas;Busy day today for @PwC_Belgium tech consultants. Next to TDV we were also showcasing our work around digital catalogues of public services for @EU_ISA2 at isa2conf18;2018-11-29;2;9;0.025
13;Hannah Jackson;Fancy a fresh new job after Christmas? Would you like to study your trainee accountancy exams @PwC_NI starting this Jan? No degree required if you have A-levels. DEADLINE FOR APPLICATIONS TOMORROW! Apply now to the My Financepartner Jan 2018 role:;2018-11-29;5;10;0.14545454545454545
14;Optum European Diversity Awards;Congratulations @PwC_UK, winner of the @HeathrowAirport @Accenture Social Mobility Initiative of the Year award!;2018-11-29;0;5;0.041666666666666664
15;Terri McClements;PwC: Only 4% of executives say their business has successfully implemented AI;2018-11-29;1;3;0.375
16;Jon Terry;Great to hear our @PwC_UK Chair, @KevinJDEllis put social mobility and diversity at the centre of business building trust.;2018-11-29;2;8;0.4166666666666667
17;PWC Chiros;We are so excited for our upcoming PWC HOLIDAY MARKET! All vendors are a part of our PWC Tribe and your support means the world to these amazing mommas with a little side hustle that helps support...;2018-11-29;0;0;0.29375
18;Shine PwC;Such an amazing result!! Social Mobility Award;2018-11-29;8;35;0.3236111111111111
19;Jon Terry;Over thirty years and being involved in well over one hundred research reports, by a distance @PwC_UK-@OutLeadership OutToSucceed report on LGBT+ talent has been the most satisfying and I am most proud to be involved in. Now take a look at our regional summaries;2018-11-29;3;9;0.575
20;PwC US;Why are kids so glad their parents work for us? It might have something to do with our flexible work hours and parental leave policies. @GPTW_US @FortuneMagazine has once again named us one of the BestWorkplaces for Parents:;2018-11-29;101;479;0.5
21;PwC Ukraine;"The thirst for knowledge and information?
Join the winter training marathon at the PwC Academy!";2018-11-29;0;3;0
22;David Schmid;A must read! IFRS and US GAAP - similarities and differences: PwC ⁦@CFOdirect⁩;2018-11-29;1;6;0
23;Chartered IIA;Looking forward to our Aspire event this evening on agile audit. A standout panel of @PwC, @rsagroup, @Barclays and Grant Thornton change and agile audit professionals, speaking to our early career internal auditors.;2018-11-29;0;1;0.275
